Form,What's your cohort?,Hiring Company,Job Title,Salary,"Job location (City, Country)","Date you first got a job offer, coming out of Makers Academy","How many companies did you interview with, before you got your first offer?",Date you accepted this job offer,Date you start this job you've accepted,"How many companies did you interview with, before you got this offer that you're accepting?",What tech will you be working with?,How did you get this job?,Tell us more,What did we do well?,How could careers support at Makers be improved?,How likely are you to recommend the Makers Academy Careers Team to future cohorts?,Conversion Date,Conversion Title,Contact ID,NPS
CongratsForm753,December 2022,The Victoria and Albert Museum,Full-Stack Developer,40000,London,04/08/2023,2,07/08/2023,04/09/2023,2,"Ruby on Rails, Python, Hugo, React, Postgre, Git and GitHub, JIRA, Confluence, CircleCI, Docker",Other,The Victoria and Albert Museum was a Makers' Hiring Partner but the application was to be done on the company website,"Candida's help and support was essential for my job hunt. Her advices, the regular fortnightly meetings, and the course she organised to help Alumni with impostor syndrome were crucial during a moment that can be tough and complicated like the job hunt",I think at the moment the lack of career's coach can be a problem as lots of other alumni from my cohort I talked to remained without one.,9,2023-09-07 09:16:17,Form,47879151,Promoter
CongratsForm752,May 2022,Civil Service (DWP Digital),Apprentice End User Computing Analyst,32515,London,18/07/2023,5,18/07/2023,04/09/2023,5,Not sure yet,Apply direct on company website,,"CV review with Katarina, ongoing support with Candida including excellent playing big session","More junior roles, although understand difficult in current climate",8,2023-08-31 16:45:34,Form,29685501,Passive
CongratsForm751,Blue December 22,"Kraken Technologies, Octopus Energy",Backend Developer,31000,"London, United Kingdom",06/05/2023,0,19/08/2023,19/08/2023,1,"Python, React, Django",Apply direct on company website,,Preparing us with skills to work in professional team environment,More diversity of opportunities,7,2023-08-25 15:24:56,Form,55230151,Passive
CongratsForm750,Blue November,Sopra Banking,QA Test Analyst,22000,Yate,22/08/2023,5,22/08/2023,11/09/2023,5,"TestRail, Jira, BitBucket",Apply direct on company website,,"Hunor's energy was good when he was doing workshops, seems like he isn't doing them anymore. Becks was great too.","Coaches who aren't constantly being made redundant or leaving, and who actually seem to care/seem to be invested in you doing well other than you just being a number. WAY more jobs on the hub- I basically felt alone in the job search, even though Makers seemed like a good choice because of their connections with employers. I expected several jobs on the hub per month. Seems crazy to graduate 20+ people a month, but offer a handful of jobs every few months. Jobs fairs didn't seem worth attending for the sake of 2/3 employers.",2,2023-08-24 13:51:16,Form,51154651,Detractor
CongratsForm749,December,Overloop.io,Manual QA Engineer,30000,Remote,17/08/2023,3,17/08/2023,17/08/2023,3,Javascript,Personal contact/referral,,1-to-1 sessions with Candida were particularly supportive and helpful.,More coaches to focus on your bespoke experience.,8,2023-08-23 18:17:49,Form,27748501,Passive
CongratsForm748,August 21,University Of Warwick - Warwick Business School,Data and Systems Support Specialist,29600,"Coventry, UK",31/05/2023,16,31/05/2023,10/07/2023,16,SQL,Apply direct on company website,,Support after the bootcamp.,More job opportunities.,8,2023-08-14 22:26:08,Form,26648401,Passive
CongratsForm747,Sept 2021,GDS,DevSecOps,31500,Manchester,14/12/2023,1,04/08/2023,04/09/2023,1,unknown,MA Hiring Partner,,"Provided ongoing, felxible support in many different ways. Thank you so so much.","Maybe a bit more transparency on who gets selected for jobs, and why. ie the Apple, and ARM oppurtuntiies was v competitive, could there be examples on who gets through, and why. This might help others understand how to better sell/ communicate themselves.",10,2023-08-11 23:18:45,Form,31685201,Promoter
CongratsForm746,May,The Travel Corporation,Junior Software Engineer,28000,London,13/05/2023,0,15/04/2023,04/09/2023,0,"Tech Specialism, focused on data & integration engineering & technology. Using python, APIs, data storage, data analysis & manipulation, configuration of Software as a Service. Analysis Specialism, focused Business Analysis and related Product / Project management skills. Process mapping, user stories, backlog management, project support & business/systems requirements analysis. Customer insights supporting personalisation Addressing data privacy and security related strategic changes AI and Machine Learning based initiatives Data lake integrating multiple source systems Improving self-service capabilities in digital channels",Other,"The company called Code First Girls, is an organisation dedicated to promoting gender diversity in tech and empowering women in the field.",learning with Makaers was a great experience,did not had the chance to use the career support but I am sure the Makers support team is great.,10,2023-08-10 14:44:45,Form,59543751,Promoter
CongratsForm745,February 23,Spendesk,Software Developer,32000,London,08/08/2023,3,08/08/2023,02/10/2023,3,"Not sure for my role. They mentioned TypeScript, React and Jest in their presentation at the careers fair.",MA Hiring Partner,,"The Makers team is amazing across the board! The coaching and learning environment was brilliant, and the continuous community and support with events such as the careers fairs and other meet ups has been something really special for me.","I am grateful to have received context about the lack of information from IG after my recent interview with them, and it may have been a one off, however I feel it is really important to always secure some information about how to prepare for tech tests so job hunters can bring their best to interviews.",10,2023-08-09 15:38:05,Form,63755851,Promoter
CongratsForm744,Feb 2023,Absowebly,Junior Software Developer,24000,Ashford,03/08/2023,2,04/08/2023,10/08/2023,2,LAMP stack and Vanilla JS,Job Board,,I got lighting-speed responses from Sandy when I booked a chat with Kay,I believe Zak could use some help as he seems to be overwhelmed by the amount of messages he receives,9,2023-08-07 23:34:19,Form,5885301,Promoter
CongratsForm743,October 22,Curaleaf Int,Junior Software Engineer,44000,London,24/07/2023,4,01/08/2023,04/09/2023,5,"Typescript, React, Python, Quart/Flask, AWS",Going to a meetup,,Instilled belief in myself,More realism about the state of the jobs market and how difficult it can be for bootcamp grads to get a toehold. We can take it you don't need to hold back! It would have allowed me to plan my finances and mental state a bit better upon leaving the course.,5,2023-08-07 16:09:23,Form,53701501,Detractor
CongratsForm742,September 2022,OakNorth bank,Junior Fullstack Engineer,1,London,29/06/2023,6,29/06/2023,17/07/2023,6,"Typescript, Javascript, Python",Personal contact/referral,,Support sessions/workshops with discussions and personal checkins,I did miss personal check-in sessions and the stand downs with Becks when they changed but I understand the reasoning. Better clarity on the accelerator programme and what it involves.,8,2023-07-14 15:04:37,Form,51849051,Passive
CongratsForm741,March 2023,TfL,Software Developer Apprentice,22915,London,10/07/2023,1,10/07/2023,11/09/2023,1,"C#, Azure",Apply direct on company website,,"Really useful information/sessions on CV writing and Cover Letter to help build confidence going into job market. One-on-one session awesome for a personalised approach and giving individual, targeted support. Regularly updated opportunities on Slack. All very approachable people.",Everything seems to be covered. I was really happy with the careers support.,10,2023-07-14 14:34:46,Form,58564701,Promoter
CongratsForm740,Jan23,Pobl Group,Junior Web Developer,34576,"Newport, Wales, United Kingdom (fully remote, 1 in-person meeting per month)",03/05/2023,1,05/06/2023,19/06/2023,2,"Typescript, NextJS, TailwindCSS, Cypress, Figma, Agile team",Apply direct on company website,,Special thanks to Sarah for replying me promptly to help me with the reference check regarding my Makers study,"Provide a reference check channel, e.g. emails, a hotline for companies to contact",7,2023-07-08 22:39:32,Form,58461801,Passive
CongratsForm739,February 23,Conversio,Junior front end developer,30000,London,04/07/2023,2,04/07/2023,12/07/2023,2,JavaScript,Job Board,,I had interview prep with Kay which was really helpful,"More continued support groups post makers, help with networking / how to look for jobs, there wasn’t as many job opportunities as I thought there might be",7,2023-07-06 21:17:00,Form,53529951,Passive
CongratsForm738,June 2023,American Express,Junior Software Engineer (Apprentice),22000,"Burgess Hill, UK",19/06/2023,2,19/06/2023,11/09/2023,2,"Java, C#",Job Board,,"Brilliant coaching and bitesize, well paced learning",Unsure as havent got to that stage yet,10,2023-07-03 16:49:08,Form,61542051,Promoter
CongratsForm737,November 22,Muzz,Junior Full Stack Engineer,35000,London,26/06/2023,6,26/06/2023,11/07/2023,6,"Typescript, React, Golang, AWS, SQL,",Job Board,,job hunting and interview technique,Tailor more to current market conditions,7,2023-07-03 11:14:19,Form,51914051,Passive
CongratsForm736,,Hargreaves Lansdown,Associate Software Engineer,30000,Bristol,26/05/2023,2,26/05/2023,26/06/2023,2,Typescript and API,MA Hiring Partner,,In supporting me finding my first job,Continue to support all Makers who completed the bootcamp in looking for the first job,10,2023-06-25 20:42:48,Form,38341751,Promoter
CongratsForm735,November,Perlego,Software development intern,25000,London,02/06/2023,4,19/06/2023,26/06/2023,5,React,Job Board,,Regular job listings.,I felt like there was very little support after my careers coach was made redundant .,6,2023-06-21 18:10:12,Form,47549751,Detractor
CongratsForm734,Blue November 2022,OLR retail,Junior Developer,30000,London,19/06/2023,4,20/06/2023,03/07/2023,4,"React, Javascript, SQL",MA Hiring Partner,,Makers hiring partners gave lots of feedback and it felt like I was getting a proper chance with each application,"Maybe a couple more workshops after the first month, or more technical based workshops",8,2023-06-21 12:05:20,Form,55166551,Passive
CongratsForm733,Sept 2023,Hargreaves Lansdown,Associate Software Engineer,30000,Bristol (I will be working remotely in Sheffield),07/06/2023,3,08/06/2023,10/07/2023,3,Typescript Node.js Express,MA Hiring Partner,,"The course skilled me up quickly, most of the coaching was very good, the aftercare/job coaching was fine - but it did improve over the last few months","I thought that there could have been more support for some of the cohort who struggled a bit with the course, I also know that several people from my cohort have had to go back to their previous jobs - I found the job hunting pretty bleak after completing the course around xmas - probably in retrospect not the best time.",8,2023-06-20 14:25:11,Form,51820551,Passive
CongratsForm732,January 2023,TMB Marketing & Communications,Junior Software Engineer,35000,Remote (occasional travel to Surrey),24/05/2023,1,06/06/2023,26/06/2023,2,"TypeScript, React, AWS, GraphQL, Kibana, ElasticSearch, Nest.js",MA Hiring Partner,,Communication with TMB was smooth and prompt,"Looking back to finishing the course, I think it would be great if in careers there were perhaps more workshops around intros to techs we don't yet know, but are regularly featured in job descriptions. Building on that, I think if you had one or two 'paths' or 'tracks' that were essentially self-led guides on what to learn next. I personally found it so overwhelming seeing the amount of different technical requirements in job adverts and not really knowing where to start or what was best to focus on, and feeling the pressure to find a job, but also learn the relevant skills to give myself the best chance of getting one. It meant that I doubted the skills I had obtained through the course, because they didn't measure up to what was expected in these job adverts. eg. One track could be - Frontend: If you're hoping to work in a frontend role as your first job, we recommend the following plan: • Increase your knowledge of JavaScript. • Study React in more depth, or alternatively try out another framework like Vue. • Build and deploy a static web application using Vercel/Render etc • Practice working on JSON in the browser. Obviously my example is a bit rudimentary 😅",7,2023-06-19 14:19:20,Form,55748701,Passive
CongratsForm731,November 2022,eflow global,Developer,30000,Bristol,18/05/2023,5,18/05/2023,12/06/2023,5,"C, C++, C#, ASP.NET, JavaScript, HTML, CSS",Job Board,,"CV, cover letter and interview support",Nothing comes to mind,9,2023-06-01 10:22:29,Form,53539651,Promoter
CongratsForm730,November 22,Capgemini,Junior software engineer,30000,London,15/04/2023,5,19/04/2023,05/06/2023,5,Diff stack depending on project,Apply direct on company website,,Interview help,Would have loved more makers jobs but strange market at the moment!,9,2023-06-01 08:51:51,Form,51885851,Promoter
CongratsForm729,July 22,Hargreaves Lansdown,Junior Software Engineer,30000,Bristol,26/05/2023,7,26/05/2023,19/06/2023,7,"Swift, Kotlin, Java",MA Hiring Partner,,Provided opportunities with partnerships,Engage more directly with cohorts,8,2023-05-26 17:11:29,Form,27027351,Passive
CongratsForm728,Dec 2022,BJSS,Academy Engineer,35000,Bristol,01/05/2023,1,25/05/2023,12/06/2023,1,"Full stack - c#, .net, JS, react",Apply direct on company website,,Helped learn a good variation of skills which helped when it came to the interview stages from tech exams to group project and presentation. Knowing the full process of creating software from build all the way to presentation.,More communication after the course finishes. Felt like we got ghosted to be honest. Had a career person who left a few days after graduation and then had 0 contact from any other career advisors. My mentor from the previous cohort said the same thing and advised to look for jobs and not rely on any in house stuff and i'm glad i listened and was so proactive in getting a job.,5,2023-05-25 16:23:28,Form,41652751,Detractor
CongratsForm727,Blue November,Hargreaves Lansdown,Android Developer,30000,Bristol,24/05/2023,8,24/05/2023,19/06/2023,8,Native android,MA Hiring Partner,,the support from the careers coaches was really useful. Having Candida giving me ongoing support was really useful and allowed me to reflect on my job search. Hunors pre interview sessions were amazing and very helpful in giving me confidence.,"I didnt find the group pre interview prep session as useful as the individual one to one. It felt more generic and not as tailored to my needs. (I couldn't attend at the time, so watched the recording).",9,2023-05-25 10:54:25,Form,54165301,Promoter
CongratsForm726,Sept 2022,WYSPR,Junior Developer,30000,London / Remote,26/04/2023,4,27/04/2023,04/05/2023,4,"React, Node.JS, TypeScript, MongoDB, Docker, AWS, MUI, Cypress, Jest",Personal contact/referral,,"The coaches, especially Hunor, Becks & Toby, were incredibly supportive during a very challenging time in the industry and REALLY helped keep me going, I might have given up on the hunt if it wasn't for them.","It's a difficult time in the industry, but I felt quite that my expectations weren't managed well going into the job hunt - which made it extra tough to deal with the huge amount of rejection. I felt also that there weren't that many opportunities being put forward by Makers vs what had been suggested before and during the course - the February careers fair and then Lendscape pulling all their jobs was a particular low point, and I kind of gave up hoping good opps would come via Makers. In addition losing Becks & Toby at the same time and without much notice was pretty challenging, I didn't feel like there was any support for me after that point.",6,2023-05-10 17:15:27,Form,51383351,Detractor
CongratsForm725,December22,Cimple,Junior fullstack engineer,37500,London,09/05/2023,1,10/05/2023,22/05/2023,1,Elixir/Phoenix javascript/react/reactNative graphQL and Postgress,Apply direct on company website,,Hunor's session was a very important for my interview prep and confidence,perhabs once a month having a mock interview,9,2023-05-10 10:24:19,Form,55394501,Promoter
CongratsForm724,December 2022,Rightmove,Associate Software Engineer,375000,Milton Keynes,09/05/2023,4,09/05/2023,23/05/2023,4,Java,MA Hiring Partner,,"Setting up the partnership, the whole process between applying and being offered the role was speedy, and the general warm and friendly nature of everyone!",I think there’s a been a bit of period of change in the team since I graduated so I think I felt the full force of that. The thing that I think would really help is managing expectations early on in the Makers process;some of the content is out of date so (we were told we’d have a cv workshop in week 6).,7,2023-05-10 09:46:04,Form,51453151,Passive
CongratsForm723,December 22,Group GTI,Integration Engineer,38000,Wallingford,14/04/2023,1,17/04/2023,09/05/2023,1,"Java, REST API, SSO, email routing",Personal contact/referral,,Individual characters,"A lot more wrap around support needed, especially given the condition of the market. Unfortunately our cohort was adversely impacted by redundancies and poor communication. It pains me to give a low score for recommendation but our job search really was disrupted, despite individual heroes doing what they could to help.",4,2023-05-04 20:14:02,Form,918967,Detractor
CongratsForm722,December 2022,Overloop.io,Software engineer,35000,Remote (EU),03/05/2023,1,03/05/2023,08/05/2023,1,"Node.js, graphql, aws, react",Other,LinkedIn messaging,General support was good,Nothing - I understand it's a tough market,8,2023-05-04 09:18:38,Form,53523201,Passive
CongratsForm721,August 2022,University of Southampton,Apprentice Junior Software Developer,16700,Peterborough,28/02/2023,15,28/02/2023,17/04/2023,15,"NextJs, Boostrap",Apply direct on company website,,Amazing support form Becks and Toby,Bring more hiring companies,10,2023-05-03 12:05:52,Form,48768401,Promoter
CongratsForm720,November 2022,Metro Bank,Associate Software Engineer,35000,"Holborn, London",02/05/2023,8,02/05/2023,05/06/2023,8,Java and Angular,Apply direct on company website,,Motivation through stand downs,More jobs available through Makers Hub + more careers coaches available to offer enhanced support,7,2023-05-03 10:26:26,Form,52240601,Passive
CongratsForm719,December 2022,Wiley Edge,Junior Software Developer - Aspire Women in Tech Programme,24000,London,19/04/2023,2,19/04/2023,09/05/2023,2,Java,Other,Otta click apply,"Coach sessions and workshops with Becks, Candida, Hunor and Kateryna",N/A,9,2023-04-26 15:44:22,Form,52075851,Promoter
CongratsForm718,December 2022,Atkins,Junior Software Engineer,33000,Bristol,24/04/2023,2,24/04/2023,26/06/2023,2,Embedded software systems,Recruiter,,Pretty much everything,"I don't have any suggestions, you do a great job already!",10,2023-04-24 15:50:29,Form,54120251,Promoter
CongratsForm717,November Blue,Jisc - OpenAthens,Junior Full Stack Software Engineer,32000,"Remote (1 day a month in Bristol, UK)",17/04/2023,1,18/04/2023,02/05/2023,1,"Java, GWT, Angular, microservices, REST-based APIs, SAML, OIDC, Gerkin/Cucumber, Docker, Kubernetes, Google Cloud Platform, CI/CD pipelines",MA Hiring Partner,,"The Careers Team provided fantastic support and workshops. Candida my careers coach was excellent and gave great advice on ways to tackle the job search, organise my time with all the competing priorities and keeping me positive throughout the search. Hunor provided excellent advice through OJW and during a 1to1 prior to my final assessment day so I felt really confident and prepared. Also, I thought the reviews were a fantastic resource and I was really able to demonstrate what I learnt from these in my final interview.","More hiring partner roles. I was really lucky to secure a role through a Makers Hiring Partner but there were only a handful that came through when I was job searching. Despite doing all the right things and putting a lot of effort in, I got pretty much no success from external applications so the hiring partners are definitely the best way to get Makers a role.",8,2023-04-22 21:22:15,Form,51215401,Passive
CongratsForm716,July 22,Jaspar,Test Analyst,34000,London,11/04/2023,3,14/04/2023,24/04/2023,3,Test Evolve software/React/Java?,MA Hiring Partner,,Very little. My last interview with a Makers partner I received the feedback that I based on the strength of my code I would develop too quickly out of a junior position and therefore would not be offered the position. Nobody at Makers seemed to argue with this? This is just one example of the shambolic work the partnership team does.,"The partnership team does not get to know the Makers students and treats the hiring process like an anonymous job board. I paid £8.5k for this course for access to jobs and there have been maybe 11 since October last year, and twice their hiring partners have decided not to hire any makers at all. Why am I paying £8.5k for access to a below-average jobs board? They need to spend more time getting to know the students and what they're capable of. This can be done by attending the end of course presentations and seeing the projects that the students produce. To be honest my experience at Makers was not great overall, including work by the parternship team. The tutors often had no knowledge of the curriculum outside their unit and some were rude. I was paired with people who had no tech skills at all and more than halfway through the course had to be shown what an array is and on one occasion how to copy and paste and save a file. The course needs a complete overhaul. It's disgusting given the job market that the course is still taking on so many students and promising them jobs. I noticed recently that the ex CEO and one of the board members was talking on linkedin was working abroad so clearly someone is making use of that money!",1,2023-04-14 13:10:52,Form,27599401,Detractor
CongratsForm715,April 2021,Albany Beck,Technology Pioneer,30000,London,06/04/2023,8,06/04/2023,17/04/2023,6,"Java, Python",Recruiter,,Lots of good advice and support,I could have hoped for more opportunities from hiring partners,7,2023-04-14 11:05:58,Form,30747301,Passive
CongratsForm714,Blue December,Adaptive Web Limited,Infrastructure Engineer,35000,Derbyshire (Fully Remote),03/04/2023,4,04/04/2023,04/05/2023,4,"Python, AWS, Drupal, PHP, Terraform, Github, Github Actions, Mac, Linux, BASH, Pantheon, Ansible",Recruiter,,"Good bootcamp content, interesting projects","Be more involved I guess. I spoke to one single person for support, tried to get a CV review multiple times but never got one in the end.",3,2023-04-05 16:38:21,Form,56187851,Detractor
CongratsForm713,Blue November,Xpansion,Fullstack Software Engineer,45000,London,28/03/2022,2,28/03/2022,17/04/2023,2,".NET, React",MA Hiring Partner,,"cover letter review, post graduation seminars",more tech interview based things like the oop workshop,8,2023-04-02 07:48:46,Form,59313651,Passive
CongratsForm712,August 2022,Oleeo,Trainee Software Developer,28000,London - Wimbledon / Remote,21/02/2023,7,17/03/2023,03/04/2023,10,"HTML, CSS, Angular - Frontend     Perl - Backend",Job Board,,Good opportunities for 1-to-1 chats for interview preparations - received valuable advice and tips,Potentially more interactive sessions - chats with hiring staff or ex hiring managers maybe,8,2023-03-31 13:23:02,Form,51564301,Passive
CongratsForm711,July '22,BBC,Junior Software Engineer,37418,London,31/01/2023,3,31/01/2023,12/09/2023,3,"Lots! This is a two-year graduate scheme with four, six-month rotations. Tech will include JavaScript (React, Typescript), Java, Python, Scala, Ruby, Amazon Web Services and more.",Job Board,,"Excellent careers coaching from Toby - such a genuine, supportive coach. And amazing tech interview prep with Hunor! Really gave me a much-needed confidence boost.",N/A,10,2023-03-30 14:34:04,Form,50131601,Promoter
CongratsForm710,Blue November '22,TestEvolve,Test Analyst,30000,London,21/03/2023,5,21/03/2023,11/04/2023,5,"JavaScript, Ruby",MA Hiring Partner,,Career support is abundant with many avenues of motivation,"For the month and a half that I used it, I couldn't see room for improvement - an excellent service!",10,2023-03-30 13:00:41,Form,53847751,Promoter
CongratsForm709,September 2022,IMG media,Software developer,33000,London United Kingdom,28/02/2023,3,08/03/2023,11/04/2023,3,"java, javascript, typescript",Other,Linkedin,"one job wednesday, 1-1 coach support, retros in the evening, consistent job opportunities posted to slack with lunchtime talks.",I am not sure as I enjoyed my experience with the careers support team at Makers.,5,2023-03-29 17:33:45,Form,27080651,Detractor
CongratsForm708,Febuary 2022,AVASK,Software Support Engineer,22500,Southampton,28/03/2023,20,30/03/2023,10/04/2023,20,"C#, Node.js, Blazor",Job Board,,Gave a good foundation in learning how to code,"Better structure, both on the course and during the job hunt, for the Neurodiverse community.",7,2023-03-29 15:54:37,Form,28899101,Passive
CongratsForm707,,Natwest,Graduate Software Engineer,36950,London,24/01/2023,1,30/01/2023,11/09/2023,3,not sure yet,Apply direct on company website,,course,good enough,10,2023-03-27 11:29:44,Form,51475951,Promoter
CongratsForm706,Blue November,Pragmatiq,Junior Technical Consultant,30000,Milton Keynes,15/03/2023,1,15/03/2023,11/04/2023,1,"Microsoft Dynamics 365, Javascript, C#",Recruiter,,"The interview alerts and coaching sessions were super helpful. Hunor is so good at what he does, he was super helpful and gave very insightful advice. I had quite a quick turnaround on my interviews and even with short notice Hunor made sure to meet with me before each interview. Honestly felt like cheating the interview having Hunor talk me through it before, he made it so easy. The rest of the team, and Maxine in particular were also really helpful, the group sessions held were really good, and provided some great tips and insights.","I'm not really sure, everyone was super friendly and helpful. I think the worst thing for me was the careers fair being so close to when I graduated from the bootcamp, being the week after, which made it feel like there wasn't much point in going since there'd be ex-Makers much further ahead of me. But, that isn't really something that can be controlled, people graduate every month and the fair has to happen at some point.",10,2023-03-21 12:04:47,Form,54411201,Promoter
CongratsForm705,Blue December 2022,giffgaff (via Hatch Digital),Junior Developer,28000,London,10/02/2023,0,21/02/2023,20/03/2023,0,"Frontend: HTML, CSS, Javascript, React, React Native. Backend: Java",Other,Saw an advert on Instagram,"Providing motivation and inspiration, providing peer support network",N/a,10,2023-03-07 10:59:38,Form,40060101,Promoter
CongratsForm704,September 2022,Makers Academy,Integration Engineer,35000,"London, United Kingdom",03/03/2023,12,03/03/2023,13/03/2023,12,"Front-end: ES6, React, Redux, Gatsby || Back-end: Node, Express, Lambda, Git, ElasticSearch, DynamoDB || Testing: Jest, React Testing Library, Mock Service Worker || APIs: REST || DevOps: AWS serverless technologies, Terraform, Docker",Job Board,,Guidance on CV/job applying strategies/job boards to use/companies to apply to,Makers already has an amazing team for their careers support and the only thing I could see added is maybe mock interviews? Otherwise it's near flawless,10,2023-03-03 18:12:29,Form,52204951,Promoter
CongratsForm703,February 2022,KPS UK,Graduate Back End Developer,26000,"London, Wimbledon",31/01/2023,7,01/02/2023,20/02/2023,7,Java with Spring Framework,Personal contact/referral,,"One to one coach support, help with the cover letter and cv, and the group stand-ups.","The market is tough, so no comment here.",9,2023-03-01 19:24:20,Form,45293051,Promoter
CongratsForm702,May 22,IManage,Associate software engineer,35000,London,21/02/2023,2,27/02/2023,21/03/2023,2,"Scala, java, react",MA Hiring Partner,,"Organising lunchtime meetings, support and advice throughout.",You did great,10,2023-03-01 14:28:03,Form,46399001,Promoter
CongratsForm701,August 2022,Sky,Associate Developer,40000,"London, UK",01/02/2022,1,01/02/2023,20/03/2023,1,JavaScript,Apply direct on company website,,Fundamentals and best practices with coding: the reviews prepared me for in person and pair coding. Pair coding. Good CV support also,Just letting people know they can also send in singular paragraphs to be improved on one job Wednesdays. I felt having to send a whole cover letter in the beginning on was a bit daunting,10,2023-02-28 18:16:25,Form,51074601,Promoter
CongratsForm700,October 2022,Cyclr,Junior Connector Developer,25000,London,24/02/2023,1,24/02/2023,13/03/2023,1,"javascript, APIs",Job Board,,Enthusiastic and kept morale going,If you could learn magic and can make the job market less competitive right now 🤷‍♂️,10,2023-02-28 17:07:31,Form,52943601,Promoter
CongratsForm699,March 2022,Frontier Developments,Graduate Game Server Developer,30000,Cambridge (but will be working from home),24/02/2023,5,28/02/2023,20/03/2023,5,"PHP, Cobra",Personal contact/referral,,Cover letter feedback and how to write them. Advice on how to write your CV. Support with one-to-one calls (everything was done well to be honest!),Can't think of anything!,10,2023-02-28 13:09:09,Form,44948501,Promoter
CongratsForm698,April 2021,Sparta Global,Apprenticeship - Java SDET,19000,London,20/02/2023,4,20/02/2023,27/02/2023,4,"Java, Git, Cucumber, MySQL",Job Board,,My coach referred this job to me and it was the perfect opportunity. I could go on and on about how amazing Makers has been. The holistic approach is something that's sorely missed from other companies. Aftercare is second to none. It's nuanced and takes into account peoples personal situations. It doesn't feel like just a pipeline. everyone at Makers has been genuinely interested in my job hunt and rooting for me. That's been a great source of motivation and encouragement. Work Better Collective is also very effective and works really. OJW is also a great tool.,"There isn't much but I do think that more clarity on how to write cover letters for the Makers hub and for jobs outside of Makers would be good because I think they require two different styles of cover letter. That being said, the job market is very tough in Tech. The biggest improvement would be to have more jobs on offer through Makers Hub but I know this is something somewhat out of your control because of the current climate. If you were to invest your resources into something right now I'm sure the strategy would definitely be procuring more hiring partners.",10,2023-02-28 11:49:22,Form,29745701,Promoter
CongratsForm697,May 2022,Roke,Software Engineer,30000,Gloucester,21/02/2023,0,21/02/2023,17/04/2023,0,"Java, Python, Javascript.",Apply direct on company website,,Provided a very well structured curriculum.,Nothing.,10,2023-02-23 19:23:13,Form,47762951,Promoter
CongratsForm696,May 2022,UBS,Software Engineer,55000,London,25/01/2023,5,30/01/2023,27/02/2023,4,Java,Other,Haylee Potts (I think) posted in the Alumni Slack about a Software Design Accelerator that CodingBlackFemales and UBS were organising. I applied and completed a two month course that focused on Java and Software Design. I completed a project and showcased it to staff at UBS and CBF and after completing the course I was able to secure a role at UBS.,"I enjoyed the stand ups, it was good to share good news and bad news with others. Helps you feel connected with people going through the same process as you. I also like One Job Wednesday and the support provided by Hunor and Becks. I also felt support from my Job Coach Katerina, when I was feeling low and received a rejection from a job, she gave me valuable advice and frequently checked up on me which I really appreciate!",Before and after Careers fairs it would be good to have more jobs available on the hub.,8,2023-02-22 21:39:43,Form,37875301,Passive
CongratsForm695,October 2022,Kayleigh watts,Associate Software Engineer,35000,"London, UK (Remote)",21/02/2023,2,22/02/2023,21/03/2022,2,"Java, Typescript, REACT",MA Hiring Partner,,Candida is amazing and gave me so much support and encouragement. Code reviews were really helpful also.,I did feel a little bit lost at the end of the course. Both in terms of direction and going from an intensive course to doing much less. It would be great if there could be an EQ session in the week following graduation. I found these to sessions to be really helpful and it would be really valuable to have a reflective moving on/dealing with change session.,10,2023-02-22 10:02:12,Form,54069051,Promoter
CongratsForm694,October 2022,Newcross Healthcare,Junior Software Engineer,45,London,31/01/2023,4,06/02/2023,20/02/2023,4,"C#, Unity, AWS",Personal contact/referral,,Candida was superb - got to know me very quickly and helped me get “in the zone” to really accelerate my job hunt. Workshops were also great too!,"Overall I think the support has been great, so really had to push myself to think of areas for improvement!  First, this is VERY minor but we had one workshop that never happened due to a team member being away (and was never rescheduled), perhaps just fell off the radar and no one flagged it.   Otherwise, I think perhaps managing expectations before students graduate around how many hiring partners are in the pipeline could be helpful. Not sure if this is just my cohort, but a lot of October had the impression that there would be a chunky handful of roles to apply to when finishing. There was a general perception throughout the course that there’s a constant line of hiring partners coming to Makers. It’s not until you’re on the ‘other side’ of the course that you understand the volume of roles on offer, and a handful of people in my cohort were a bit taken aback initially. So perhaps giving a bit of a heads up around the number of opportunities available might help people get into the job hunting zone / mindset a little faster.   Lastly, one thing that stood out to me in interviews was how often I was asked to explain concepts like OOP, etc. These are all things we covered at Makers, but I think a lot of us just skim over “the theory” and prioritise building coding skills / confidence. Perhaps in the materials, when these concepts are introduced, there could be little flags to say “heads up: this is the sort of concept you might need to talk about in an interview”. For me, this would’ve made me learn to explain them as I progressed through the course (vs ‘cramming’ definitions before an interview).",9,2023-02-08 08:25:59,Form,47142151,Promoter
CongratsForm693,September 2022,Heywood Pension Technologies,Graduate Developer,29000,"Manchester, UK",31/01/2023,3,31/01/2023,25/02/2023,2,Java,Job Board,,"The constant support, from the initial GTK meeting with Katerina to the job hunting Slack channels. I didn't take full advantage of the support, however I felt more confident applying for roles as I knew this was available. The group sessions were well-structured and enjoyable. I learned why and how to write a cover letter. Special thanks to Hunor to helping me before my first tech interview :)",More jobs available on the Hub.,10,2023-02-02 14:32:48,Form,52490251,Promoter
CongratsForm692,September 2022,Flutter Entertainment,Software developer,37,"London, UK",20/12/2022,2,20/12/2022,30/01/2023,2,Java,MA Hiring Partner,,Lots of support and advice when finishing Makers,I think having some workshops about interviews would be useful,10,2023-01-26 12:54:08,Form,45655501,Promoter
